datetime	tweet	hashtags	compound	sentiment_category
10/26/24 11:26:16	strong women scare weak men respect donald trump donaldtrump maga cult magacult trumpism misogyny misogynist misogynistic sexist sexism disease jdvance vote woman strongwoman strongwomen man weakman weakmen slaves	#donald #trump #donaldtrump #maga #cult #magacult #Trumpism #misogyny #misogynist #misogynistic #sexist #sexism #disease #jdvance #vote #woman #women #strongwoman #strongwomen #man #men #weakman #weakmen #slaves	0.0772	positive
10/26/24 11:29:09	wanna know win election check candidates tube subscriptions kamala harris donald trump elections weave vote	#Election #YouTube #Kamala #Harris #Donald #Trump #Elections #Weave	0.5859	positive
10/26/24 12:16:10	donald trump got vote save america americas best pics videos	#donald #trump #got #AmericasBestPicsAndVideos	0.8126	positive
10/26/24 12:20:57	realdonaldtrump cant wait vote nov donald	#donald	0.0	neutral
10/26/24 12:25:53	donald trump sealonaldtrump americas best pics videos	#donald #trump #sealonaldtrump #AmericasBestPicsAndVideos	0.6369	positive
10/26/24 12:29:30	vote trump save america called donald americas best pics videos	#called #donald #trump #AmericasBestPicsAndVideos	0.8126	positive
10/26/24 12:46:36	vivekgramaswamy folks deceiving raining praises donald sickening birds feather flock together theres integrity amp character deceit eye service given deranged unhinged dangerous dude hey best america	#Donald #Integrity #character #deceit #deranged #unhinged #dangerous	-0.1779	negative
10/26/24 13:36:29	donald trump es americas best pics videos	#donald #trump #es #AmericasBestPicsAndVideos	0.6369	positive
10/26/24 14:18:36	n l j trump told us politician polipolylilies tian shun politicians liars telling ro djt speaking truth admire	#DONALD	0.25	positive
10/26/24 14:25:45	amazing piece adambrimson donald g	#Donald #MAGA	0.5859	positive
10/26/24 14:29:21	donald trump got americas best pics videos	#donald #trump #got #AmericasBestPicsAndVideos	0.6369	positive
10/26/24 15:28:30	miguellorente es probable que el finde dadas las caractersticas del pato donald fuera muchsimo ms divertido con trump lo muy claro los entretenimientos kamala seran distintos pero mucho seguros adecuados quiero pensar dos podra haber prcticas de tiro	#donald	0.0	neutral
10/26/24 15:32:24	vote earlyvote best president time donald jtrump	#Donald	0.6369	positive
10/26/24 15:59:46	important message christians evangelicals lets mindful view leaders avoid comparisons mislead watch clip thoughtprovoking take keeping faith politics perspective elections donald trump maga	#Christians #Evangelicals #Elections2024 #Donald #Maga	0.34	positive
10/26/24 16:41:47	donald says taiwan stole chip business	#Donald #TaiwanStoleOurChipBusiness	0.0	neutral
10/26/24 16:45:23	donald trump retruthed americas best pics videos	#donald #trump #retruthed #AmericasBestPicsAndVideos	0.6369	positive
10/26/24 16:45:38	realdonaldtrump donald writing presidential	#Donald #presidential	0.0	neutral
10/26/24 17:03:35	breaking news donald americas best pics videos	#breaking #news #donald #AmericasBestPicsAndVideos	0.6369	positive
10/26/24 17:08:43	donald head gop late everything yet cant understand ballot postmarked election day received counted another dictator rule rules thee dahlialithwick mjsdc stephmillershow	#Donald #DictatorRule	0.0	neutral
10/26/24 17:27:39	donalds assassins gop gun nuts	#Donald #Assassins #GopAndGunNuts	-0.5719	negative
10/26/24 18:07:16	maryltrump mary l trump bidens age alleged cognitive issues disqualified donalds actual decline land assisted livingwith ankle bracelet must go jail terrorism rapist corrupt amp agent asset russia	#Trump #Biden #Donald #terrorism #Russia	-0.8957	negative
10/26/24 18:12:17	donald trump says americas best pics videos	#donald #trump #says #AmericasBestPicsAndVideos	0.6369	positive
10/26/24 18:43:49	presidential poll vote president kamala harris donald trump election	#Kamala #Harris #Donald #Trump #election #president	0.0	neutral
10/26/24 20:17:53	vote donald trump conquer stars presidente	#Donald #Trump #For #Presidente #DT2024	0.0	neutral
10/26/24 20:50:44	scottpresler youth good man country satisfy win doubt donald trump	#Donald	0.802	positive
10/26/24 21:26:18	michelleobama kamalaharris know ppl online waiting donald jtrump watching staged event	#Donald	0.0	neutral
10/26/24 21:45:47	breaking news trumps friends warn might become dictator well thats one reality show wed definitely want cancel donald trump	#Donald #Trump #Dictator	0.7003	positive
10/26/24 21:49:32	trump remix banger producer tips production lesson donald via youtube	#trump #remix #banger #producer #tips #production #lesson #donald	0.0	neutral
10/26/24 21:50:32	way lot guys especially gop underestimating kamalaharris shes going surprise yall election im even fan voting trump vance harris walz u kamala donald	#TrumpVance2024 #HarrisWalz2024 #USElection2024 #KamalaHarris2024 #donald	0.5267	positive
10/26/24 21:51:19	good luck mr donald trump elon musk mo tahliil nairobi city yup	#Good #Luck #M #Donald #Trump #M #Elon #Musk #M #Mo #Tahliil #Nairobi #City	0.7096	positive
10/26/24 22:00:16	ive watching every speech candidates kamala harris donald trump clearly see racist think please r larger sample	#KamalaHarris #DonaldTrump #Kamala #Harris #Donald #Trump #RT	0.0	neutral
10/26/24 22:01:18	donald trump crosshairs ruth bader ginsburgs family recovery support committee orig dans le viseur de la famille w r l n e	#WORLDNEWS #Trump #Donald #in #crosshairs #the	0.4019	positive
10/26/24 22:58:23	donald supporters half brain obvious	#Donald	0.4404	positive
10/26/24 23:03:49	michelle obama blasts donald trumps gross incompetence kamala harris rally w r l n e	#WORLDNEWS #Obama #Michelle #Blasts #Trump #Donald	-0.7506	negative
10/26/24 23:09:03	donald dissing polling companies respect workers thinks cheating big time projection course stephmillershow fromthebunkerjr kiresists bobcescago johnfugelsang charlesppierce cliffschecter jojofromjerz	#Donald #Projection	-0.128	negative
10/26/24 23:20:34	donaldkun give smile donald agenai mc donalds	#ドナルドくん #スマイルあげない #マクドナルド #Donald #SmileAgenai #McDonalds	0.3612	positive
10/26/24 23:47:39	donald darf bald kein eu land mehr einreisen auer ungarn amp italien ist er nirgends willkommen wahrscheinlich bleiben fr ihn nur noch die b r c staaten bei seinem kumpel kim bumm un offen	#Donald #BRICS #Kim_Bumm_un	-0.5994	negative
10/26/24 23:53:19	know donald played businessman tv inherited money hosted game show host actually qualifies president elections vote r e b l u trump kamala harris walz	#donald #elections2024 #VoteRED #VoteBLUE #Trump #Kamala #HarrisWalz	0.34	positive
10/26/24 23:58:49	donalds assassins g pand gun nuts	#Donald #GOPandGunNuts	-0.5719	negative
2024-10-26 16:08:22	pinned post saying kamala win votes foolish prediction stands bc im willing sacrifice dignity helps help long last leave trump trembling music harris vp	#harris	0.7906	positive
