ID	user	tweet	datetime	cleantweet	hashtags	likes	QT	reply	RT	compound	sentiment_category
1849564931772821974	bawhawwww	'@POTUS[Video] President Joe Biden has sparked fury by suggesting Donald Trump should be in jail just 14 days out from the presidential election. ... YOU'RE BULLSHIT RETHORIC #DonaldTrump #JoeBiden #KamalaHarris #Presidentialelection https://t.co/mxvAUE7BRb'	2024-10-24 21:33:37	potusvideo president joe biden sparked fury suggesting donald trump jail days presidential election youre bullshit rethoric kamala harris presidentialelection	#DonaldTrump #JoeBiden #KamalaHarris #Presidentialelection	0	0	0	0	-0.8176	negative
1849564993576108166	rckbcn03	'Former Democratic Presidential Candidate Tulsi Gabbard, Who Endorsed Biden in 2020, Officially Joins 'Trump's GOP': 'The Party of Equality' #DonaldTrump #TheDemocraticParty #JoeBiden #Presidentialelection https://t.co/EUlp03AVIo'	2024-10-24 21:33:52	former democratic presidential candidate tulsi gabbard endorsed biden officially joins trumps gop party equality donald trump joe presidentialelection	#DonaldTrump #TheDemocraticParty #JoeBiden #Presidentialelection	0	0	0	0	0.5719	positive
1849565886350287198	JackFarmer01A	'Trump Blasts Biden’s ‘Lock Him Up’ Demand: ‘Election Interference’ #DonaldTrump #JoeBiden #Blasts #Presidentialelection https://t.co/rPId4XGOos'	2024-10-24 21:37:25	trump blasts bidens lock demand election interference donald joe biden presidentialelection	#DonaldTrump #JoeBiden #Blasts #Presidentialelection	0	0	0	0	-0.128	negative
1849566466980356571	MarkVolak	'CNN Guest Reports Young Men Keep Saying They Felt ‘Safer’ Under Trump, Are Worried About Getting Drafted Into War #DonaldTrump #CNN #HillaryClinton #Presidentialelection https://t.co/gwjFXVwghL'	2024-10-24 21:39:43	cnn guest reports young men keep saying felt safer trump worried getting drafted war donald c n hillary clinton presidentialelection	#DonaldTrump #CNN #HillaryClinton #Presidentialelection	0	0	0	0	-0.5106	negative
1849566645284745478	carrnut	'‘What if She Objects?!’ Fox’s Maria Bartiromo Sounds Alarm Over HARRIS Not Certifying 2024 Election Results #MikePence #DonaldTrump #Presidentialelection https://t.co/dleNfOZ6Wv'	2024-10-24 21:40:26	objects foxs maria bartiromo sounds alarm harris certifying election results mike pence donald trump presidentialelection	#MikePence #DonaldTrump #Presidentialelection	0	0	0	0	-0.34	negative
1849568456376479924	Bloke_On_A_Bike	'USA is done, no matter who wins #PresidentialElection. If #Trump loses, he won't accept it. Which means months of chaos. If Trump wins #KamalaHarris supporters will be on streets protesting.Meaning months of chaos. Either way USA as leader of free World is done.#Newsnight #bbcqt'	2024-10-24 21:47:37	usa done matter wins presidential election trump loses wont accept means months chaos kamala harris supporters streets protestingmeaning either way leader free world donenewsnight bbcqt	#PresidentialElection #Trump #KamalaHarris #Newsnight #bbcqt	2	0	3	0	0.4245	positive
1849568824586121286	tcleve1130	'Harris Lauds More Republicans Endorsing Her, Rips ‘Exhausted’ Trump For Skipping CNN Debate #CNN #Republicans #DonaldTrump #Presidentialelection https://t.co/WUktZtgTdP'	2024-10-24 21:49:05	harris lauds republicans endorsing rips exhausted trump skipping cnn debate c n donald presidentialelection	#CNN #Republicans #DonaldTrump #Presidentialelection	0	0	0	0	-0.3612	negative
1849569710104338562	Adlee7873	'Opinion: I'm a non-MAGA conservative. Sanctimonious liberals make me want to vote Trump. #DonaldTrump #Presidentialelection https://t.co/TPo4wEG12j'	2024-10-24 21:52:36	opinion im nonmaga conservative sanctimonious liberals make want vote trump donald presidentialelection	#DonaldTrump #Presidentialelection	0	0	0	0	0.0772	positive
1849569760348078306	Cheripi45199368	'Ex-Chrysler CEO slams Biden-Harris admin for another 'deceptively correct comment' on EVs #Electricvehicle #Electriccar #Presidentialelection https://t.co/o08E2EOxok'	2024-10-24 21:52:48	exchrysler ceo slams bidenharris admin another deceptively correct comment evs electricvehicle electriccar presidentialelection	#Electricvehicle #Electriccar #Presidentialelection	0	0	0	0	0.0	neutral
1849571828022313019	GraffPinkert	'THIS WEEK ON SWARFBLOG If the #elections don't interest you, what about the celebrities surrounding our nation's #politics? This week, Lloyd discusses the impact of billionaires Taylor Swift and Elon Musk. Read the blog: https://t.co/r2LkzK3iem #presidentialelection #business https://t.co/MTTvskYhGG'	2024-10-24 22:01:01	week swarfblog elections dont interest celebrities surrounding nations politics lloyd discusses impact billionaires taylor swift elon musk read blog presidentialelection business	#elections #politics #presidentialelection #business	0	0	0	0	-0.1729	negative
1849571848939250073	MeatPoultry	'With the presidential election quickly approaching, voters seemed mixed on which candidate may best support US agricultural interests at home and abroad. #presidentialelection #agriculture #trade https://t.co/7i10Ce9AsJ'	2024-10-24 22:01:06	presidential election quickly approaching voters seemed mixed candidate may best support us agricultural interests home abroad presidentialelection agriculture trade	#presidentialelection #agriculture #trade	0	0	0	0	0.836	positive
1849573250327777517	AnneRoc42046852	'Watch live: Trump holds rally in swing state Arizona #DonaldTrump #Arizona #Housing #Presidentialelection https://t.co/bWNFsiYrXQ'	2024-10-24 22:06:40	watch live trump holds rally swing state arizona donald housing presidentialelection	#DonaldTrump #Arizona #Housing #Presidentialelection	0	0	0	0	0.0	neutral
1849575768562729414	Chazz001786767	'#trump #trump2024 #Presidentialelection #rfkjr2024 #rfkjr #FoxNews #maga #conservative #republican #election https://t.co/lq8JfODBPN'	2024-10-24 22:16:41	trump presidentialelection rfkjr fox news maga conservative republican election	#trump #trump2024 #Presidentialelection #rfkjr2024 #rfkjr #FoxNews #maga #conservative #republican #election	0	0	0	0	0.0	neutral
1849578510857216178	Robby42394165	'Russian smear of Tim Walz hits internet ahead of US election #Russia #DonaldTrump #Intelligenceagency #Presidentialelection https://t.co/SKXQYGrDBI'	2024-10-24 22:27:35	russian smear tim walz hits internet ahead us election russia donald trump intelligenceagency presidentialelection	#Russia #DonaldTrump #Intelligenceagency #Presidentialelection	0	0	0	0	-0.3612	negative
1849578545560817905	changeingyou	''Deal with the devil': Trump's 'disturbing' plans said to threaten day-to-day life #DonaldTrump #Republicans #Impeachment #Presidentialelection https://t.co/NwIPXLEZsX'	2024-10-24 22:27:43	deal devil trumps disturbing plans said threaten daytoday life donald trump republicans impeachment presidentialelection	#DonaldTrump #Republicans #Impeachment #Presidentialelection	0	0	0	0	-0.8834	negative
