1850253867554074953	RinStef3	'#DeepFake Lying #Kamala. #McDonalds'	2024-10-26 19:11:12	deep fake lying kamala mc donalds	#DeepFake #Kamala #McDonalds
1850253901640974709	DCcatahoula	'Feeling fairly successful….Got my flag up, dropped off ballot and canceled @washingtonpost after being a print subscriber for more than 30 years and digital for last 2. #vote #Kamala #AngelaAlsobrooks https://t.co/WBuQBClunM'	2024-10-26 19:11:20	feeling fairly successfulgot flag dropped ballot canceled washingtonpost print subscriber years digital last vote kamala angela alsobrooks	#vote #Kamala #AngelaAlsobrooks
1850253907076714846	DVMsil3nt	'@GuntherEagleman Is autism at a higher rate than it's ever been before? #VP #Kamala'	2024-10-26 19:11:22	gunthereagleman autism higher rate ever v p kamala	#VP #Kamala
1850253959069585560	DRJACOBB	'@vanduper @ImMeme0 I disagree: Your life—if it isn’t snuffed out for exercising your #rights—will NOT be easier. Did you know that under #Kamala #Harris #Biden they have now placed into LAW #Dod5240.01 which authorizes the #USMilitary two #ShootAndKill #Americans for exercising their'	2024-10-26 19:11:34	vanduper immeme disagree lifeif isnt snuffed exercising rightswill easier know kamala harris biden placed law dod authorizes u military two shoot kill americans	#rights #Kamala #Harris #Biden #Dod5240 #USMilitary #ShootAndKill #Americans
1850254232483668432	thrifted	'#electionfraud #KamalaHarris2024 #Kamala #Reublicans #2024Election #2024PresidentialElection #2024elections #reno #renotalk #TimWalz #washoecounty #nevada'	2024-10-26 19:12:39	electionfraud kamala harris reublicans election presidential elections reno renotalk tim walz washoecounty nevada	#electionfraud #KamalaHarris2024 #Kamala #Reublicans #2024Election #2024PresidentialElection #2024elections #reno #renotalk #TimWalz #washoecounty #nevada
1850254273902207455	Butterfly2Ocean	'#KamalaCaresForUS #Kamala this is our future if Kamala wins! The party of peace, rainbows, and unity 😳'	2024-10-26 19:12:49	kamala cares u future wins party peace rainbows unity	#KamalaCaresForUS #Kamala
1850254360749678928	IeriStaff	'#Kamala only hope https://t.co/HWPkrVv0JI'	2024-10-26 19:13:10	kamala hope	#Kamala
1850254368446021635	Wizard_of_Ouzo	"'@MishGEA Thx for sharing. The arguments put forward there are utter garbage. Voters don't judge candidates by their ideas. They also judge by credibility. #Kamala isn't ""competitive on immigration"". Everyone knows she failed at immigration for 4 years. What she NOW proposes is irrelevant'"	2024-10-26 19:13:12	mishgea thx sharing arguments put forward utter garbage voters dont judge candidates ideas also credibility kamala isnt competitive immigration everyone knows failed years proposes irrelevant	#Kamala
1850254428328140866	Gmortiz61	'#Kamala, demócrata y californiana, continuará la guerra en Ucrania (sin doctrina clara) y quiere detener a Israel. Es más prochina que prorrusa. #Trump, en cambio, le soltará la mano a Ucrania mientras apuesta al triunfo israelí. Su objetivo es China y la guerra arancelaria.'	2024-10-26 19:13:26	kamala demcrata californiana continuar la guerra en ucrania sin doctrina clara quiere detener israel es ms prochina que prorrusa trump cambio le soltar mano mientras apuesta al triunfo su objetivo china arancelaria	#Kamala #Trump
1850254616119702010	LVPBG	'@HallmarkJosephH Kamala Harris funding screaming in babies faces is actually one of the least offensive things she backs which really says a lot about who she is as a person. #Kamala'	2024-10-26 19:14:11	hallmarkjosephh kamala harris funding screaming babies faces actually one least offensive things backs really says lot person	#Kamala
1850254753306960038	mgnodie	'#Kamala I lost my house, job and nearly my kids because of Kamala Harris https://t.co/5l8mesLvHC'	2024-10-26 19:14:43	kamala lost house job nearly kids harris	#Kamala
